Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2147;0;0;27;235;160;129;206;2654;1851;5858;551;10569;10569;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2148;0;0;36;268;157;135;275;3027;1816;6131;596;11249;11249;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2149;0;0;22;275;177;126;168;3106;2047;5722;600;11043;11043;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2150;0;0;23;277;174;130;176;3128;2013;5904;604;11221;11221;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2151;0;0;20;245;152;115;153;2767;1758;5223;532;9901;9901;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2152;0;0;26;260;150;119;199;2936;1735;5404;555;10274;10274;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2153;0;0;25;288;152;142;191;3252;1758;6449;607;11650;11650;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2154;0;0;27;305;182;116;206;3444;2105;5268;630;11023;11023;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2155;0;0;26;271;157;123;199;3060;1816;5586;577;10661;10661;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2156;0;0;20;265;141;131;153;2993;1631;5949;557;10726;10726;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2157;0;0;28;274;162;128;214;3094;1874;5813;592;10995;10995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2158;0;0;31;260;153;154;237;2936;1770;6994;598;11937;11937;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2159;0;0;19;288;151;120;145;3252;1747;5450;578;10594;10594;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2160;0;0;20;255;176;116;153;2880;2036;5268;567;10337;10337;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2161;0;0;29;287;156;138;222;3241;1805;6267;610;11535;11535;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2162;0;0;21;254;162;125;161;2868;1874;5677;562;10580;10580;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2163;0;0;23;299;164;146;176;3377;1897;6630;632;12080;12080;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2164;0;0;30;265;175;130;229;2993;2024;5904;600;11150;11150;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2165;0;0;18;252;174;129;138;2846;2013;5858;573;10855;10855;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2166;0;0;24;252;181;133;184;2846;2094;6040;590;11164;11164;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2167;0;0;30;292;163;134;229;3298;1885;6085;619;11497;11497;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2168;0;0;20;264;160;102;153;2981;1851;4632;546;9617;9617;0.0;0.0;0.0;0.0;0.0;0.0;0.0
